Time,Output Voltage U phase(V),Output Voltage V phase(V),Output Voltage W phase(V),Output Current U phase(A),Output Current V phase(A),Output Current W phase(A),Output PF U phase,Output PF V phase,Output PF W phase,Output Power U phase(KW),Output Power V phase(KW),Output Power W phase(KW),Output Power U phase(KVA),Output Power V phase(KVA),Output Power W phase(KVA),Output Load U phase(%),Output Load V phase(%),Output Load W phase(%),Output IGBT R phase(A),Output IGBT Y phase(A),Output IGBT B phase(A),Output Total power(KW),Output Frequency(Hz),Output Temp 1(deg),Output Peak I U(A),Output Peak I V(A),Output Peak I W(A),Battery voltage(V),Battery Current(A),Battery Peak I(A),Input Voltage R phase(V),Input Voltage Y phase(V),Input Voltage B phase(V),Input Current R phase(A),Input Current Y phase(A),Input Current B phase(A),Input PF R phase,Input PF Y phase,Input PF B phase,Input Power R phase(KW),Input Power Y phase(KW),Input Power B phase(KW),Input Power R phase(KVA),Input Power Y phase(KVA),Input Power B phase(KVA),Input Frequency(Hz),Input Temp 1(Deg)
03-12-2024 09:05,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.7,220.8,226,29,29,28.4,1,1,1,52.93,51.34,51.51,6.6,6.4,6.42,0,9.2
03-12-2024 09:10,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,25.9,0,227.6,220.6,225.9,29,29,28.4,1,1,1,52.91,51.28,51.47,6.6,6.4,6.41,0,9.2
03-12-2024 09:15,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.9,221,226.3,29,29,28.4,1,1,1,53.02,51.41,51.58,6.61,6.4,6.42,0,9.2
03-12-2024 09:20,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.7,220.8,226,29,29,28.4,1,1,1,52.95,51.33,51.5,6.6,6.4,6.41,0,9.2
03-12-2024 09:25,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26.1,0,227.8,220.8,226.1,29,29,28.4,1,1,1,52.92,51.33,51.5,6.6,6.4,6.41,0,9.2
03-12-2024 09:30,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26.1,0,227.6,220.6,225.9,29,29,28.4,1,1,1,52.96,51.34,51.5,6.6,6.4,6.41,0,9.2
03-12-2024 09:35,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.5,220.5,225.7,29,29,28.4,1,1,1,52.86,51.24,51.4,6.59,6.39,6.4,0,8.9
03-12-2024 09:40,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0,0,0,9.2,0,0,0.2,41.9,25.9,0,228.7,221.6,226.9,29,29,28.4,1,1,1,53.26,51.6,51.75,6.63,6.42,6.44,0,9
03-12-2024 09:45,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0,0,0,8.2,0,0,0.2,41.9,26,0,228.7,221.5,226.9,29,29,28.4,1,1,1,53.26,51.58,51.74,6.63,6.42,6.44,0,8.3
03-12-2024 09:50,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0,0,0,7.9,0,0,0.2,41.9,25.9,0,228.7,221.5,226.8,29,29,28.4,1,1,1,53.27,51.62,51.77,6.63,6.42,6.44,0,8
03-12-2024 09:55,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0,0,0,8,0,0,0.2,41.9,25.9,0,228.5,221.3,226.7,29,29,28.4,1,1,1,53.17,51.51,51.66,6.62,6.41,6.43,0,7.8
03-12-2024 10:00,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0,0,0,7.8,0,0,0.2,41.9,25.9,0,228.8,221.6,226.9,29,29,28.4,1,1,1,53.31,51.63,51.79,6.63,6.42,6.44,0,8.3
03-12-2024 10:05,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0,0,0,8.2,0,0,0.2,41.9,26.1,0,228.6,221.4,226.7,29,29,28.4,1,1,1,53.23,51.55,51.72,6.62,6.42,6.43,0,8.8
03-12-2024 10:10,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0,0,0,7.7,0,0,0.2,41.9,25.9,0,228.4,221.2,226.6,29,29,28.4,1,1,1,53.17,51.49,51.66,6.62,6.41,6.43,0,8.8
02-12-2024 02:12,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.6,220.6,225.9,29,29,28.4,1,1,1,52.87,51.25,51.42,6.59,6.39,6.41,0,9.2
02-12-2024 02:17,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26,0,227.7,220.8,226.1,29,29,28.4,1,1,1,52.93,51.32,51.5,6.6,6.4,6.42,0,9.1
02-12-2024 02:22,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.8,220.9,226.1,29,29,28.4,1,1,1,52.89,51.3,51.46,6.6,6.4,6.41,0,9.2
02-12-2024 02:27,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.5,220.6,225.8,29,29,28.4,1,1,1,52.85,51.26,51.42,6.59,6.39,6.41,0,9.2
02-12-2024 02:32,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.8,0.8,0.6,0,0,9,0,0,0.2,41.9,26.1,0,227.3,220.4,225.7,29,29,28.4,1,1,1,52.82,51.21,51.39,6.59,6.39,6.4,0,9.2
02-12-2024 02:37,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.8,0.8,0.6,0,0,9.1,0,0,0.2,41.9,25.9,0,227.5,220.6,225.8,29,29,28.4,1,1,1,52.8,51.21,51.35,6.59,6.39,6.4,0,9.2
02-12-2024 02:42,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.4,220.5,225.8,29,29,28.4,1,1,1,52.87,51.28,51.44,6.59,6.39,6.41,0,9.2
02-12-2024 02:47,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26.1,0,227.6,220.7,225.9,29,29,28.4,1,1,1,52.87,51.28,51.41,6.59,6.39,6.41,0,9.2
02-12-2024 02:52,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.6,220.6,225.9,29,29,28.4,1,1,1,52.89,51.31,51.45,6.59,6.39,6.41,0,9.1
02-12-2024 02:57,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.7,220.7,226,29,29,28.4,1,1,1,52.9,51.3,51.44,6.59,6.39,6.41,0,9.2
02-12-2024 03:02,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.8,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.5,220.6,225.9,29,29,28.4,1,1,1,52.89,51.28,51.45,6.59,6.39,6.41,0,9.2
02-12-2024 03:07,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26.1,0,227.6,220.7,225.8,29,29,28.4,1,1,1,52.9,51.29,51.44,6.59,6.39,6.41,0,9.2
02-12-2024 03:12,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.6,220.6,225.9,29,29,28.4,1,1,1,52.88,51.27,51.45,6.6,6.4,6.41,0,9.2
02-12-2024 03:17,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.5,220.7,225.9,29,29,28.4,1,1,1,52.94,51.38,51.53,6.6,6.4,6.42,0,9.2
02-12-2024 03:23,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,25.9,0,227.5,220.7,225.9,29,29,28.4,1,1,1,52.9,51.28,51.46,6.59,6.39,6.41,0,9.1
02-12-2024 03:28,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.8,220.9,226.2,29,29,28.4,1,1,1,52.96,51.36,51.54,6.6,6.4,6.42,0,9.1
02-12-2024 03:33,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.6,220.8,226.1,29,29,28.4,1,1,1,52.91,51.3,51.47,6.6,6.4,6.41,0,9.2
02-12-2024 03:38,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.8,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.5,220.6,225.8,29,29,28.4,1,1,1,52.86,51.25,51.42,6.59,6.39,6.41,0,9.2
02-12-2024 03:43,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.4,220.4,225.7,29,29,28.4,1,1,1,52.87,51.28,51.44,6.59,6.39,6.41,0,9
02-12-2024 03:48,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.8,0.8,0.6,0,0,9,0,0,0.2,41.9,26,0,227.3,220.4,225.7,29,29,28.4,1,1,1,52.86,51.26,51.41,6.59,6.39,6.41,0,8.9
02-12-2024 03:53,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26.1,0,227.6,220.7,225.9,29,29,28.4,1,1,1,52.94,51.33,51.5,6.6,6.4,6.41,0,9.2
02-12-2024 03:58,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.6,220.7,226,29,29,28.4,1,1,1,52.91,51.3,51.45,6.59,6.4,6.41,0,9.2
02-12-2024 04:03,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.8,0.8,0.6,0,0,9.2,0,0,0,41.9,26,0,227.6,220.6,225.9,29,29,28.4,1,1,1,52.89,51.28,51.45,6.59,6.39,6.41,0,9.2
02-12-2024 04:08,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0,41.9,25.9,0,227.6,220.8,225.9,29,29,28.4,1,1,1,52.88,51.28,51.43,6.6,6.4,6.41,0,9.2
02-12-2024 04:13,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9,0,0,0,41.9,25.9,0,227.4,220.5,225.8,29,29,28.4,1,1,1,52.9,51.3,51.46,6.59,6.39,6.41,0,8.9
02-12-2024 04:18,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.8,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26,0,227.3,220.4,225.7,29,29,28.4,1,1,1,52.8,51.21,51.35,6.59,6.39,6.4,0,9
02-12-2024 04:23,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.7,220.8,226,29,29,28.4,1,1,1,52.88,51.3,51.43,6.6,6.4,6.42,0,9.2
02-12-2024 04:28,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0,41.9,26,0,227.7,220.8,226,29,29,28.4,1,1,1,52.93,51.33,51.48,6.6,6.4,6.42,0,9.2
02-12-2024 04:33,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26,0,227.4,220.6,225.9,29,29,28.4,1,1,1,52.83,51.24,51.39,6.59,6.39,6.41,0,9.1
02-12-2024 04:38,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.6,220.7,225.9,29,29,28.4,1,1,1,52.88,51.29,51.46,6.6,6.4,6.41,0,9.1
02-12-2024 04:43,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26.1,0,227.5,220.6,225.9,29,29,28.4,1,1,1,52.89,51.29,51.45,6.6,6.4,6.41,0,9.2
02-12-2024 04:48,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,25.9,0,227.8,220.9,226.2,29,29,28.4,1,1,1,52.95,51.36,51.51,6.6,6.4,6.42,0,9.2
02-12-2024 04:53,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.7,220.8,226,29,29,28.4,1,1,1,52.95,51.36,51.5,6.6,6.4,6.41,0,9.2
02-12-2024 04:58,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.8,220.9,226.1,29,29,28.4,1,1,1,52.95,51.35,51.48,6.6,6.4,6.41,0,9.2
02-12-2024 05:03,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26.1,0,227.7,220.8,226,29,29,28.4,1,1,1,52.92,51.32,51.47,6.6,6.4,6.42,0,9.1
02-12-2024 05:08,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.6,220.7,225.9,29,29,28.4,1,1,1,52.91,51.33,51.46,6.6,6.4,6.41,0,9
02-12-2024 05:13,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.5,220.6,225.8,29,29,28.4,1,1,1,52.86,51.28,51.44,6.59,6.39,6.41,0,9.2
02-12-2024 05:18,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,25.9,0,227.6,220.6,225.9,29,29,28.4,1,1,1,52.85,51.25,51.42,6.6,6.4,6.41,0,9.1
02-12-2024 05:23,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26,0,227.7,220.9,226,29,29,28.4,1,1,1,52.95,51.34,51.48,6.6,6.4,6.42,0,9.2
02-12-2024 05:28,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.7,220.8,226.1,29,29,28.4,1,1,1,52.96,51.37,51.53,6.6,6.4,6.42,0,9.2
03-12-2024 05:33,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.8,220.9,226.1,29,29,28.4,1,1,1,52.89,51.34,51.48,6.6,6.4,6.41,0,9.2
03-12-2024 05:38,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.5,220.6,225.8,29,29,28.4,1,1,1,52.84,51.24,51.42,6.6,6.4,6.41,0,9.2
03-12-2024 05:44,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26.1,0,227.8,221,226.2,29,29,28.4,1,1,1,52.91,51.3,51.45,6.6,6.4,6.41,0,9.1
03-12-2024 05:49,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.8,0,227.7,220.8,226.1,29,29,28.4,1,1,1,52.94,51.36,51.5,6.6,6.4,6.42,0,9.2
03-12-2024 05:54,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.4,220.5,225.7,29,29,28.4,1,1,1,52.91,51.3,51.46,6.59,6.39,6.41,0,9.1
03-12-2024 05:59,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26,0,227.7,220.8,226,29,29,28.4,1,1,1,52.92,51.35,51.49,6.6,6.4,6.41,0,9.2
03-12-2024 06:04,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0.6,0,0,9.1,0,0,0.2,41.9,26,0,228.1,221.1,226.4,29,29,28.4,1,1,1,53.05,51.44,51.59,6.61,6.41,6.43,0,9.2
03-12-2024 06:09,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0.2,41.9,26.1,0,227.7,220.7,226,29,29,28.4,1,1,1,52.92,51.35,51.49,6.6,6.4,6.41,0,9.1
03-12-2024 06:14,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.7,220.7,226,29,29,28.4,1,1,1,52.93,51.33,51.47,6.6,6.4,6.41,0,9.2
03-12-2024 06:19,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9,0,0,0.2,41.9,25.9,0,227.8,220.9,226.1,29,29,28.4,1,1,1,52.96,51.35,51.5,6.6,6.4,6.42,0,9.1
03-12-2024 06:24,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.8,220.9,226.1,29,29,28.4,1,1,1,52.92,51.34,51.48,6.6,6.4,6.42,0,9.2
03-12-2024 06:29,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0,41.9,26.1,0,227.7,220.8,226,29,29,28.4,1,1,1,52.92,51.32,51.46,6.6,6.4,6.41,0,9.1
03-12-2024 06:34,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.1,0,0,0,41.9,26,0,227.9,220.9,226.2,29,29,28.4,1,1,1,52.9,51.31,51.45,6.6,6.4,6.41,0,9.2
03-12-2024 06:39,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,228.1,221.2,226.4,29,29,28.4,1,1,1,53.03,51.46,51.61,6.61,6.41,6.42,0,9.1
03-12-2024 06:44,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.6,220.8,225.9,29,29,28.4,1,1,1,52.96,51.38,51.53,6.6,6.4,6.41,0,9.1
03-12-2024 06:49,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0.6,0,0,9.1,0,0,0.2,41.9,26,0,228,221.2,226.4,29,29,28.4,1,1,1,52.99,51.4,51.54,6.61,6.41,6.42,0,9.2
03-12-2024 06:54,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.7,220.8,226.1,29,29,28.4,1,1,1,52.95,51.34,51.49,6.6,6.4,6.42,0,9
03-12-2024 06:59,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.6,0.6,0,0,9.2,0,0,0.2,41.9,26.1,0,228,221.1,226.4,29,29,28.4,1,1,1,53,51.4,51.54,6.61,6.41,6.42,0,9.2
03-12-2024 07:04,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.7,220.8,226.1,29,29,28.4,1,1,1,52.96,51.38,51.51,6.6,6.4,6.41,0,9.2
03-12-2024 07:09,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.7,220.8,226,29,29,28.4,1,1,1,52.9,51.3,51.45,6.6,6.4,6.41,0,9.2
03-12-2024 07:14,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,26,0,227.8,220.9,226.2,29,29,28.4,1,1,1,52.98,51.38,51.52,6.6,6.4,6.42,0,9.2
03-12-2024 07:19,0,0.1,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0.6,0.8,0.6,0,0,9.2,0,0,0.2,41.9,25.9,0,227.7,220.7,226,29,29,28.4,1,1,1,52.91,51.33,51.47,6.6,6.4,6.41,0,9.2
